id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0090377,Sirnach,m,M-Migros,Kleine Filiale mit Grundsortiment,Winterthurerstrasse 27,8370,Sirnach,CH,47.4634678,8.9916638
0090378,Kirchberg-Stelz,m,M-Migros,Kleine Filiale mit Grundsortiment,Wilerstrasse 204,9533,Kirchberg,CH,47.4388794,9.0568321
0090380,Bazenheid,m,M-Migros,Kleine Filiale mit Grundsortiment,Wilerstrasse 17,9602,Bazenheid,CH,47.4126848,9.0682158
0090381,Domat-Ems,m,M-Migros,Kleine Filiale mit Grundsortiment,Via La Val 1,7013,Domat/Ems,CH,46.8372082,9.4653889
0090383,Sulgen - Passerelle,m,M-Migros,Kleine Filiale mit Grundsortiment,Hauptstrasse 3,8583,Sulgen,CH,47.5401419,9.1829867
0090384,Churwalden,m,M-Migros,Kleine Filiale mit Grundsortiment,Hauptstrasse 146,7075,Churwalden,CH,46.7779744,9.543758
0090385,Teufen,m,M-Migros,Kleine Filiale mit Grundsortiment,Speicherstrasse 8,9053,Teufen AR,CH,47.3907355,9.3908514
0090387,Weinfelden Weststrasse,m,M-Migros,Kleine Filiale mit Grundsortiment,Weststrasse 27/29,8570,Weinfelden,CH,47.56718,9.094288
0090389,Chur Masans,m,M-Migros,Kleine Filiale mit Grundsortiment,Masanserstrasse 240,7000,Chur,CH,46.8717233,9.5346776
0090390,Wittenbach,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Oedenhof 1c,9300,Wittenbach,CH,47.460354,9.389376
0090391,Zuzwil,m,M-Migros,Kleine Filiale mit Grundsortiment,Herbergstrasse 17,9524,Zuzwil,CH,47.47228,9.1124966
0090392,Bronschhofen,m,M-Migros,Kleine Filiale mit Grundsortiment,Amp-Strasse 2,9552,Bronschhofen,CH,47.4807063,9.0325903
0090415,Altstätten SG,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Stossstrasse 2,9450,Altstätten,CH,47.377183,9.537698
0090420,Amriswil,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Rütistrasse 10a,8580,Amriswil,CH,47.54671,9.297961
0090421,Arbon,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,St. Gallerstrasse 6,9320,Arbon,CH,47.5119795,9.432242
0090422,Appenzell,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Feldstrasse 16,9050,Appenzell,CH,47.333888,9.405552
0090424,Buchs SG,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Churerstrasse 10,9470,Buchs,CH,47.163967,9.472575
0090425,Chur - Calandapark,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Pargherastrasse 1-3,7000,Chur,CH,46.846195,9.513262
0090427,Chur - Gäuggeli,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Gäuggelistrasse 28,7000,Chur,CH,46.851696,9.527312
0090428,Landquart,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 54,7302,Landquart,CH,46.9677876,9.561865
0090431,Flawil,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Magdenauerstrasse 10,9230,Flawil,CH,47.4130548,9.1863798
0090432,Davos Symondpark,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Promenade 105,7270,Davos Platz,CH,46.8015209,9.8327029
0090433,Gossau,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,St. Gallerstrasse 115,9200,Gossau SG,CH,47.4175531,9.2563798
0090436,Herisau,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Gartenstrasse 2,9100,Herisau,CH,47.38613,9.284552
