id,name,type,latitude,longitude,city,radius_minutes
37323,VOI Jegenstorf,voi,47.051416,7.5103611,Jegenstorf,20
37324,VOI Ins,voi,47.0042581,7.1070561,Ins,20
37325,VOI Bern - Spiegel,voi,46.9264088,7.433499,Bern,20
37326,VOI Unterkulm,voi,47.310751,8.1136799,Unterkulm,20
37328,VOI Lengnau,voi,47.1808069,7.3631011,Lengnau BE,20
37329,VOI Roggwil,voi,47.2393252,7.8218895,Roggwil,20
37331,VOI Studen,voi,47.1142052,7.3011494,Studen,20
37332,VOI Wilderswil,voi,46.6660645,7.8690846,Wilderswil,20
37333,VOI Wichtrach,voi,46.850993,7.5753497,Wichtrach,20
37334,VOI Bern - Viktoriastrasse,voi,46.9536364,7.4545541,Bern,20
37335,VOI Baden - Mellingerstrasse,voi,47.4673446,8.2932847,Baden,20
37336,VOI Niederlenz,voi,47.3990619,8.1777989,Niederlenz,20
37337,VOI Steffisburg,voi,46.773617,7.6161447,Steffisburg,20
37338,VOI Aarburg,voi,47.320554,7.9071351,Aarburg,20
37339,VOI Boll,voi,46.9546925,7.5479454,Boll,20
37341,VOI Safenwil,voi,47.321305,7.9851441,Safenwil,20
37342,VOI Zollbrück,voi,46.973156,7.7477865,Zollbrück,20
37343,VOI Bern - Kramgasse,voi,46.9481109,7.4497459,Bern,20
37344,VOI Kappel,voi,47.3236429,7.8468992,Kappel SO,20
37345,VOI Biel - Jardin du Paradis,voi,47.1454026,7.2632867,Biel/Bienne,20
37346,VOI Niederrohrdorf,voi,47.4250876,8.30086,Niederrohrdorf,20
37347,VOI Schafisheim,voi,47.375744,8.143915,Schafisheim,20
37348,VOI Thun Bahnhof,voi,46.75493,7.6308928,Thun,20
37351,VOI Bern Warmbächli,voi,46.94683,7.415601,Bern,20
37353,VOI Dottikon,voi,47.382822,8.242143,Dottikon,20
37355,VOI Köniz-Neuhausplatz,voi,46.928673,7.416791,Liebefeld,20
37356,VOI Lenzburg,voi,47.38932,8.17072,Lenzburg,20
37358,VOI Egerkingen,voi,47.321882,7.794294,Egerkingen,20
37361,VOI Stettlen,voi,46.958812,7.523631,Stettlen,20
37362,VOI Aarau-Buchserstrasse,voi,47.390267,8.063823,Aarau,20
44010,Carouge - Acacias,m,46.1914249,6.1376403,Carouge GE,20
44020,Chêne-Vert,mm,46.195988,6.1962886,Chêne-Bourg,20
44030,Genève - Balexert,mmm,46.2187665,6.1131166,Genève 28,20
44060,Genève - Cointrin Aéroport,m,46.2312856,6.1102265,Genève 15 Aéroport,20
44090,Carouge,m,46.1834886,6.1407522,Carouge GE,20
44110,Genève - Champel,mm,46.1909267,6.1524674,Genève,20
44140,Genève - Charmilles,mm,46.2082241,6.1231482,Genève,20
44180,Genève - Cornavin Gare,m,46.210102,6.142462,Genève,20
44230,Genève - Plainpalais,mm,46.1931467,6.1435018,Genève,20
44250,Genève - Eaux-Vives,mm,46.2039608,6.1585088,Genève,20
44290,Genève - Fusterie M-Express,m,46.2039287,6.1461998,Genève,20
44300,Gland,m,46.4170516,6.2756695,Gland,20
44340,Gd Saconnex - Le Pommier,m,46.228951,6.1198025,Le Grand-Saconnex,20
44350,Genève - Jonction,mm,46.2007896,6.1306224,Genève,20
44360,Gradelle,m,46.2054501,6.1812063,Chêne-Bougeries,20
44370,Le Lignon,m,46.2034469,6.0963765,Le Lignon,20
