"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"29";"Flurlingen";"Steuerbares Einkommen, in Mio. Franken";69;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"29";"Flurlingen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";44436;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"30";"Andelfingen";"Steuerbares Einkommen, in Mio. Franken";88;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"30";"Andelfingen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";39295;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"31";"Henggart";"Steuerbares Einkommen, in Mio. Franken";83;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"31";"Henggart";"Steuerbares Einkommen pro Einwohner/-in, in Franken";36030;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"32";"Humlikon";"Steuerbares Einkommen, in Mio. Franken";19;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"32";"Humlikon";"Steuerbares Einkommen pro Einwohner/-in, in Franken";39187;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"33";"Kleinandelfingen";"Steuerbares Einkommen, in Mio. Franken";77;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"33";"Kleinandelfingen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";36426;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"34";"Laufen-Uhwiesen";"Steuerbares Einkommen, in Mio. Franken";87;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"34";"Laufen-Uhwiesen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";48764;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"35";"Marthalen";"Steuerbares Einkommen, in Mio. Franken";75;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"35";"Marthalen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";39054;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"37";"Ossingen";"Steuerbares Einkommen, in Mio. Franken";59;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"37";"Ossingen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";34203;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"38";"Rheinau";"Steuerbares Einkommen, in Mio. Franken";43;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"38";"Rheinau";"Steuerbares Einkommen pro Einwohner/-in, in Franken";33057;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"39";"Thalheim an der Thur";"Steuerbares Einkommen, in Mio. Franken";34;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"39";"Thalheim an der Thur";"Steuerbares Einkommen pro Einwohner/-in, in Franken";35678;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"40";"Trüllikon";"Steuerbares Einkommen, in Mio. Franken";36;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"40";"Trüllikon";"Steuerbares Einkommen pro Einwohner/-in, in Franken";34465;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"41";"Truttikon";"Steuerbares Einkommen, in Mio. Franken";15;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"41";"Truttikon";"Steuerbares Einkommen pro Einwohner/-in, in Franken";34222;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"43";"Volken";"Steuerbares Einkommen, in Mio. Franken";14;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"43";"Volken";"Steuerbares Einkommen pro Einwohner/-in, in Franken";37565;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"51";"Bachenbülach";"Steuerbares Einkommen, in Mio. Franken";152;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"51";"Bachenbülach";"Steuerbares Einkommen pro Einwohner/-in, in Franken";36251;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"52";"Bassersdorf";"Steuerbares Einkommen, in Mio. Franken";433;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"52";"Bassersdorf";"Steuerbares Einkommen pro Einwohner/-in, in Franken";36293;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"53";"Bülach";"Steuerbares Einkommen, in Mio. Franken";766;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"53";"Bülach";"Steuerbares Einkommen pro Einwohner/-in, in Franken";34807;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"54";"Dietlikon";"Steuerbares Einkommen, in Mio. Franken";298;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"54";"Dietlikon";"Steuerbares Einkommen pro Einwohner/-in, in Franken";37835;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"55";"Eglisau";"Steuerbares Einkommen, in Mio. Franken";205;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"55";"Eglisau";"Steuerbares Einkommen pro Einwohner/-in, in Franken";37339;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"56";"Embrach";"Steuerbares Einkommen, in Mio. Franken";299;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"56";"Embrach";"Steuerbares Einkommen pro Einwohner/-in, in Franken";31069;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"57";"Freienstein-Teufen";"Steuerbares Einkommen, in Mio. Franken";89;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"57";"Freienstein-Teufen";"Steuerbares Einkommen pro Einwohner/-in, in Franken";37281;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"58";"Glattfelden";"Steuerbares Einkommen, in Mio. Franken";174;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"58";"Glattfelden";"Steuerbares Einkommen pro Einwohner/-in, in Franken";32995;"Franken";"A";"Normaler Wert";"";"2020-12-31";"ESTV";"2024-02-02";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
"59";"Hochfelden";"Steuerbares Einkommen, in Mio. Franken";73;"Franken";"A";"Normaler Wert";"";"2020-01-01/2020-12-31";"ESTV";"2024-02-01";"polg";"Politische Gemeinden";"2020-10-18";"27600";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/27600_de.html"
